Company,Year,Assets,Cash,Equity,Profit,Revenue,Return on Equity,Return on Assets,Profit Margin,Trailing P/E,Price/Sales,Price/Book,PEG,Forward P/E
ABBV,2021,150565000000.0,8449000000.0,13076000000.0,31747000000,45804000000,90.65,9.09,23.19,,,,,
ABBV,2022,146529000000.0,9746000000.0,15408000000.0,38883000000,56197000000,90.65,9.09,23.19,,,,,
ABT,2021,72548000000.0,6838000000.0,32784000000.0,19753000000,34608000000,22.37,8.82,17.52,,,,,
ABT,2022,75196000000.0,9799000000.0,35802000000.0,25009000000,43075000000,22.37,8.82,17.52,,,,,
ACN,2021,43175843000.0,8168174000.0,19529454000.0,16364128000,50533389000,32.62,12.95,11.16,26.89,3.01,8.21,2.94,25.25
ACN,2022,47263390000.0,7889833000.0,22106097000.0,19701539000,61594305000,32.62,12.95,11.16,26.89,3.01,8.21,2.94,25.25
ADBE,2021,24284000000.0,4478000000.0,13264000000.0,11146000000,12868000000,33.44,14.4,28.0,32.23,9.03,10.57,1.62,21.37
ADBE,2022,27241000000.0,3844000000.0,14797000000.0,13920000000,15785000000,33.44,14.4,28.0,32.23,9.03,10.57,1.62,21.37
AMGN,2021,62948000000.0,6266000000.0,9409000000.0,19265000000,25424000000,115.16,9.93,25.96,22.63,5.86,41.19,1.58,15.2
AMGN,2022,61165000000.0,7989000000.0,6700000000.0,19525000000,25979000000,115.16,9.93,25.96,22.63,5.86,41.19,1.58,15.2
AMZN,2021,321195000000.0,42122000000.0,93404000000.0,152757000000,386064000000,8.78,2.0,2.26,,,,,
AMZN,2022,420549000000.0,36220000000.0,138245000000.0,197478000000,469822000000,8.78,2.0,2.26,,,,,
AVGO,2021,75933000000.0,7618000000.0,23874000000.0,17370000000,23888000000,44.73,10.95,31.96,22.57,7.15,10.12,0.82,12.79
AVGO,2022,75570000000.0,12163000000.0,24962000000.0,20288000000,27450000000,44.73,10.95,31.96,22.57,7.15,10.12,0.82,12.79
BAC,2021,2819627000000.0,373463000000.0,248414000000.0,74208000000,74208000000,10.11,0.89,29.95,11.71,3.27,1.23,98.64,9.86
BAC,2022,3169495000000.0,342321000000.0,245358000000.0,93707000000,93707000000,10.11,0.89,29.95,11.71,3.27,1.23,98.64,9.86
BMY,2021,118481000000.0,14546000000.0,37822000000.0,34045000000,42518000000,19.11,6.13,14.29,,,,,
BMY,2022,109314000000.0,13979000000.0,35946000000.0,37048000000,46385000000,19.11,6.13,14.29,,,,,
CMCSA,2021,273869000000.0,11740000000.0,90323000000.0,70443000000,103564000000,5.62,5.39,4.46,,,,,
CMCSA,2022,275905000000.0,8711000000.0,96092000000.0,77935000000,116385000000,5.62,5.39,4.46,,,,,
COP,2021,62618000000.0,2991000000.0,29849000000.0,6794000000,19216000000,38.75,18.51,23.48,,,,,
COP,2022,90661000000.0,5028000000.0,45406000000.0,22936000000,46660000000,38.75,18.51,23.48,,,,,
COST,2021,59268000000.0,11258000000.0,17564000000.0,25245000000,195929000000,30.55,7.89,2.58,40.26,1.04,11.34,3.76,36.76
COST,2022,64166000000.0,10203000000.0,20642000000.0,27572000000,226954000000,30.55,7.89,2.58,40.26,1.04,11.34,3.76,36.76
CRM,2021,66301000000.0,6195000000.0,41493000000.0,15814000000,21252000000,0.48,0.35,0.92,291.69,5.18,2.52,1.57,27.1
CRM,2022,95209000000.0,5464000000.0,58131000000.0,19466000000,26492000000,0.48,0.35,0.92,291.69,5.18,2.52,1.57,27.1
CSCO,2021,97497000000.0,9175000000.0,41275000000.0,31894000000,49818000000,27.72,9.33,22.0,17.43,3.84,4.92,2.3,13.61
CSCO,2022,94002000000.0,7079000000.0,39773000000.0,32248000000,51557000000,27.72,9.33,22.0,17.43,3.84,4.92,2.3,13.61
CVX,2021,239790000000.0,5596000000.0,131688000000.0,43983000000,94471000000,23.16,9.24,15.05,,,,,
CVX,2022,239535000000.0,5640000000.0,139067000000.0,66234000000,155606000000,23.16,9.24,15.05,,,,,
DHR,2021,76161000000.0,6035000000.0,36498000000.0,13043000000,22284000000,14.96,6.61,21.65,,,,,
DHR,2022,83184000000.0,2586000000.0,41899000000.0,18056000000,29453000000,14.96,6.61,21.65,,,,,
DIS,2021,201549000000.0,17914000000.0,83583000000.0,21508000000,65388000000,3.37,2.08,3.8,54.11,2.09,1.78,0.76,22.88
DIS,2022,203609000000.0,15959000000.0,88553000000.0,22287000000,67418000000,3.37,2.08,3.8,54.11,2.09,1.78,0.76,22.88
GOOG,2021,319616000000.0,26465000000.0,222544000000.0,97795000000,182527000000,26.89,13.92,23.75,20.57,5.32,5.64,1.36,18.18
GOOG,2022,359268000000.0,20945000000.0,251635000000.0,146698000000,257637000000,26.89,13.92,23.75,20.57,5.32,5.64,1.36,18.18
GOOGL,2021,319616000000.0,26465000000.0,222544000000.0,97795000000,182527000000,26.89,13.92,23.75,20.38,5.27,5.59,1.34,18.02
GOOGL,2022,359268000000.0,20945000000.0,251635000000.0,146698000000,257637000000,26.89,13.92,23.75,20.38,5.27,5.59,1.34,18.02
HD,2021,70581000000.0,7895000000.0,3299000000.0,44853000000,132110000000,1465.5,20.33,10.87,19.05,2.07,248.09,1.63,18.66
HD,2022,71876000000.0,2343000000.0,-1696000000.0,50832000000,151157000000,1465.5,20.33,10.87,19.05,2.07,248.09,1.63,18.66
HON,2021,64586000000.0,14275000000.0,17549000000.0,10468000000,32637000000,29.56,7.33,15.39,27.75,4.27,8.23,2.07,23.7
HON,2022,64470000000.0,10959000000.0,18569000000.0,10998000000,34392000000,29.56,7.33,15.39,27.75,4.27,8.23,2.07,23.7
JNJ,2021,174894000000.0,13985000000.0,63278000000.0,54157000000,82584000000,26.45,8.81,19.95,24.53,4.89,6.17,3.8,16.92
JNJ,2022,182018000000.0,14487000000.0,74023000000.0,64020000000,93775000000,26.45,8.81,19.95,24.53,4.89,6.17,3.8,16.92
JPM,2021,3384757000000.0,503209000000.0,249291000000.0,102471000000,102471000000,12.83,0.98,30.74,,,,,
JPM,2022,3743567000000.0,721201000000.0,259289000000.0,130898000000,130898000000,12.83,0.98,30.74,,,,,
KO,2021,87296000000.0,6795000000.0,19299000000.0,19581000000,33014000000,41.03,8.35,23.44,27.4,6.42,11.85,3.52,24.69
KO,2022,94354000000.0,9684000000.0,22999000000.0,23298000000,38655000000,41.03,8.35,23.44,27.4,6.42,11.85,3.52,24.69
LIN,2021,88229000000.0,3754000000.0,47317000000.0,11860000000,27243000000,9.39,5.01,11.39,,,,,
LIN,2022,81605000000.0,2823000000.0,44035000000.0,13250000000,30793000000,9.39,5.01,11.39,,,,,
LLY,2021,46633100000.0,3657100000.0,5641600000.0,19056500000,24539800000,66.59,11.48,20.63,,,,,
LLY,2022,48806000000.0,3818500000.0,8979200000.0,21345300000,28318400000,66.59,11.48,20.63,,,,,
MA,2021,33584000000.0,10113000000.0,6391000000.0,15301000000,15301000000,147.74,21.1,45.22,35.97,16.26,54.42,1.34,29.24
MA,2022,37669000000.0,7421000000.0,7312000000.0,18884000000,18884000000,147.74,21.1,45.22,35.97,16.26,54.42,1.34,29.24
MCD,2021,52626800000.0,3449100000.0,-7824900000.0,9752100000,19207800000,,,,,,,,
MCD,2022,53854300000.0,4709200000.0,-4601000000.0,12580200000,23222900000,,,,,,,,
META,2021,159316000000.0,17576000000.0,128290000000.0,69273000000,85965000000,22.4,12.75,24.41,10.44,2.54,2.34,2.37,13.44
META,2022,165987000000.0,16601000000.0,124879000000.0,95280000000,117929000000,22.4,12.75,24.41,10.44,2.54,2.34,2.37,13.44
MRK,2021,91588000000.0,8050000000.0,25317000000.0,29963000000,41518000000,38.14,12.68,25.88,18.25,4.74,6.28,1.34,14.56
MRK,2022,105694000000.0,8096000000.0,38184000000.0,35463000000,48704000000,38.14,12.68,25.88,18.25,4.74,6.28,1.34,14.56
MSFT,2021,333779000000.0,14224000000.0,141988000000.0,115856000000,168088000000,42.88,15.22,34.37,25.87,8.9,10.32,2.13,25.25
MSFT,2022,364840000000.0,13931000000.0,166542000000.0,135620000000,198270000000,42.88,15.22,34.37,25.87,8.9,10.32,2.13,25.25
NEE,2021,127684000000.0,1105000000.0,36513000000.0,10707000000,17997000000,6.41,1.48,19.3,43.92,8.48,4.38,2.18,27.78
NEE,2022,140912000000.0,639000000.0,37202000000.0,8589000000,17069000000,6.41,1.48,19.3,43.92,8.48,4.38,2.18,27.78
NVDA,2021,28791000000.0,847000000.0,16893000000.0,10557000000,16675000000,26.39,11.23,20.85,66.55,13.82,18.02,3.69,35.97
NVDA,2022,44187000000.0,1990000000.0,26612000000.0,17475000000,26914000000,26.39,11.23,20.85,66.55,13.82,18.02,3.69,35.97
PEP,2021,92918000000.0,8185000000.0,13454000000.0,38637000000,70372000000,55.71,8.38,11.61,26.12,3.03,13.26,3.09,24.88
PEP,2022,92377000000.0,5596000000.0,16043000000.0,42429000000,79474000000,55.71,8.38,11.61,26.12,3.03,13.26,3.09,24.88
PFE,2021,154229000000.0,1786000000.0,63238000000.0,33284000000,41651000000,35.51,13.32,29.81,,,,,
PFE,2022,181476000000.0,1944000000.0,77201000000.0,50627000000,81288000000,35.51,13.32,29.81,,,,,
PG,2021,119307000000.0,10288000000.0,45508000000.0,39144000000,76118000000,32.24,9.86,18.11,25.21,4.57,7.97,4.74,25.06
PG,2022,117208000000.0,7214000000.0,45746000000.0,38212000000,80187000000,32.24,9.86,18.11,25.21,4.57,7.97,4.74,25.06
PM,2021,44815000000.0,7280000000.0,-12567000000.0,19125000000,28694000000,,,,,,,,
PM,2022,41290000000.0,4496000000.0,-10106000000.0,21375000000,31405000000,,,,,,,,
RTX,2021,162153000000.0,8802000000.0,72163000000.0,8620000000,56587000000,6.4,2.83,6.76,32.48,2.2,2.04,1.8,18.59
RTX,2022,161404000000.0,7832000000.0,73068000000.0,12525000000,64388000000,6.4,2.83,6.76,32.48,2.2,2.04,1.8,18.59
TMO,2021,69052000000.0,10325000000.0,34507000000.0,16008000000,32218000000,17.09,6.99,15.92,30.34,4.83,4.86,4.1,23.42
TMO,2022,95123000000.0,4477000000.0,40793000000.0,19638000000,39211000000,17.09,6.99,15.92,30.34,4.83,4.86,4.1,23.42
TSLA,2021,52148000000.0,19384000000.0,22225000000.0,6630000000,31536000000,32.24,11.72,14.95,55.93,8.33,14.33,1.48,33.22
TSLA,2022,62131000000.0,17576000000.0,30189000000.0,13606000000,53823000000,32.24,11.72,14.95,55.93,8.33,14.33,1.48,33.22
TXN,2021,19351000000.0,3107000000.0,9187000000.0,9269000000,14461000000,66.96,27.18,44.21,18.13,7.97,10.82,2.94,22.37
TXN,2022,24676000000.0,4631000000.0,13333000000.0,12376000000,18344000000,66.96,27.18,44.21,18.13,7.97,10.82,2.94,22.37
V,2021,82896000000.0,16487000000.0,34509000000.0,23375000000,24105000000,40.88,14.65,51.03,29.87,15.24,12.44,1.6,25.19
V,2022,85501000000.0,15689000000.0,33257000000.0,28567000000,29310000000,40.88,14.65,51.03,29.87,15.24,12.44,1.6,25.19
VZ,2021,316481000000.0,22171000000.0,67842000000.0,77091000000,128292000000,23.66,4.59,14.22,8.33,1.19,1.84,5.64,7.56
VZ,2022,366596000000.0,2921000000.0,81790000000.0,77312000000,133613000000,23.66,4.59,14.22,8.33,1.19,1.84,5.64,7.56
WFC,2021,1952911000000.0,329084000000.0,164419000000.0,60243000000,60243000000,9.01,0.87,21.39,12.36,2.46,1.16,0.19,9.35
WFC,2022,1948068000000.0,299241000000.0,168195000000.0,82948000000,82948000000,9.01,0.87,21.39,12.36,2.46,1.16,0.19,9.35
WMT,2021,252496000000.0,17741000000.0,80925000000.0,138836000000,559151000000,10.65,6.11,1.49,47.07,0.7,5.75,4.0,23.53
WMT,2022,244860000000.0,14760000000.0,83253000000.0,143754000000,572754000000,10.65,6.11,1.49,47.07,0.7,5.75,4.0,23.53
XOM,2021,332750000000.0,4364000000.0,157150000000.0,57157000000,179784000000,29.73,11.06,13.32,10.56,1.17,2.27,1.69,9.08
XOM,2022,338923000000.0,6802000000.0,168577000000.0,90045000000,278981000000,29.73,11.06,13.32,10.56,1.17,2.27,1.69,9.08
